Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-A1_1_12125.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-B1_1_12126.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-C1_1_12127.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-D1_1_12128.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-E1_1_12129.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-F1_1_12130.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-G1_1_12131.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-H1_1_12135.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-A5_1_12136.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-B5_1_12137.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-C5_1_12138.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-D5_1_12139.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-E5_1_12140.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-F5_1_12141.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-G5_1_12142.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-H5_1_12143.d
P38747	OTU2_YEAST	OTU2	OTU domain-containing protein 2	2	2	7592.84	5659.58	7555.9	7859.31	5673.46	6998.86	6866.02	5672.17			2755.72		3552.59			
P38749	YAP3_YEAST	YAP3	AP-1-like transcription factor YAP3	2	2	763280	590395	732680	628910	757529	285522	444368	635315	711746	613507	700480	679319	691067	713142	681271	660001
P38753	HSE1_YEAST	HSE1	Class E vacuolar protein-sorting machinery protein HSE1	3	3	8925.69	10422	9005.09	10149	9459.58	10988.8	9461.34	9573.8	4575.91	4264.3	5220.12	4474.33	6051.39	3485.43	3393.76	4682.03
P38754	RL14B_YEAST	RPL14B	Large ribosomal subunit protein eL14B	2	2	181312	161746	168590	173978	172686	149711	164547	162672	88312.3	88461.2	89871.5	86548.4	83451.1	80029.5	81795	82879.5
P38755	OSH7_YEAST	OSH7	Oxysterol-binding protein homolog 7	9	9	44308.9	44177.9	45225.3	45474.9	45110.6	48376.1	47599.6	43555.7	21073.6	19595.6	21118.9	23876.9	24747.6	23236.1	21976.2	22275.1
P38756	TCD1_YEAST	TCD1	tRNA threonylcarbamoyladenosine dehydratase 1	2	2	16032	14758.9	18623	15562.6	16896.3	15266.6	14103.2	15222.4	7787.98	7054.84	6848.61	10027.6	9465.45	7275.99	8251.72	7227.49
P38758	TDA3_YEAST	TDA3	Putative oxidoreductase TDA3	7	7	13130.8	14937.5	14061.4	15417.5	13760.3	15455.7	14696.2	15498.4	6693.64	6132.05	7398.24	7651.93	6930.24	6222.09	7376.1	7902.88
P38759	VPS29_YEAST	VPS29	Vacuolar protein sorting-associated protein 29	6	6	28743.1	32812.4	36308	32422.8	32086.6	35129.8	30607.3	34172.4	17697.9	14387.7	15397.5	14549.8	14973.9	15046	15113.4	15525.9
P38764	RPN1_YEAST	RPN1	26S proteasome regulatory subunit RPN1	27	27	127594	141145	142916	137402	137810	141798	138797	131648	56085.2	58997.4	61326.6	62361.8	60235.4	60460.8	57954.7	62189.4
P38765	YHI9_YEAST	YHI9	Uncharacterized isomerase YHI9	7	7	48199.3	47666.5	45731.5	46697.7	49618.4	46947.5	46557.7	45139.4	21965	22181.8	20888	20385	24188.7	21348.3	18278.2	21033.9
P38771	RRF1_YEAST	RRF1	Ribosome-recycling factor, mitochondrial	5	5	23687.3	25938.4	23795.4	21335.8	21442.7	22875.1	20516	24145	8835.52	10115.6	10323.8	10075.8	9534.6	7470.02	7936.03	11802.4
P38773	DOG2_YEAST	DOG2	2-deoxyglucose-6-phosphate phosphatase 2	5	1	71567.1	74609	66232.1	68906.3	73449	72864.7	74420.2	77113.4	31939.1	34771.4	29201.3	31706.9	31443.7	32690.8	32803.6	33838
P38775	YHK5_YEAST	YHR045W	Putative uncharacterized protein YHR045W	3	3	8288.42	7014.75	6820.42	8759.59	7099.07	8336.46	8796.24	7562.56	4282.69	6098.94		3615.14				4252.22
P38777	FSH1_YEAST	FSH1	Family of serine hydrolases 1	11	11	51089.7	52649.2	51644.9	49378.4	51842.3	55168.1	48612.7	53443.1	22721.7	22423.7	19657.8	22653.3	23181.5	20080.7	22296.8	22025.9
P38779	CIC1_YEAST	CIC1	Proteasome-interacting protein CIC1	11	11	35533.8	36928.9	36981.7	41723.8	35912.9	37208.2	38341.5	38439.8	18434.1	16658.5	17534.7	17958.2	17751.6	17769.6	19247.7	17587.5
P38781	RSC30_YEAST	RSC30	Chromatin structure-remodeling complex protein RSC30	3	1	7921.62	8596.6	9371.78	8246.73	10168.3	10584.2	12210.3	10415.9	4366.29	3244.33	4887.36	5478.37	4664.04	4563.39	3034.15	4958.12
P38784	VMA22_YEAST	VMA22	Vacuolar ATPase assembly protein VMA22	2	2	7739.44	15914.6	7297.56	10309.3	15281.9	11365.6	11399.8	13384.9		5289.06	4502.86	8408.63	3915.64	6049.98		7851.36
P38787	PANE_YEAST	PAN5	2-dehydropantoate 2-reductase	11	11	56998.4	59084	63029.2	58955.2	61992.9	58639.8	59298.1	65698.1	26194.5	27514.8	23463.3	26680.9	25245.6	25763.8	27963.9	29570.1
P38788	SSZ1_YEAST	SSZ1	Ribosome-associated complex subunit SSZ1	24	24	443087	473246	470389	441869	453167	473484	448650	471758	206666	204591	202543	204425	199246	202978	198482	204957
P38789	SSF1_YEAST	SSF1	Ribosome biogenesis protein SSF1	2	1	13038.7	15900.2	18693.6	17087.5	17487.3	19653.7	17697.7	16472.5	9585.74					11125.7	14073.6	12404.7
P38791	DHYS_YEAST	DYS1	Deoxyhypusine synthase	19	19	246243	193320	204011	237790	200517	215702	235617	203545	96881.3	95196.5	107624	108299	98323.9	94608.3	98622.6	96666.5
P38792	RRP4_YEAST	RRP4	Exosome complex component RRP4	5	5	18250.7	17318.8	17087.8	14252.5	17116.8	17568.9	17149.2	16539.2	9991.09	8853.57	9395.36	8364.18	8563.58	9356.95	11349.8	9819.08
P38793	TRM5_YEAST	TRM5	tRNA (guanine(37)-N(1))-methyltransferase	2	2	5209.43	6229	9111.23	8794.86	11880	10927.6	8063.34	4867.74	3628.51	2988.11	3863.55	3603.36	3820.13	3652.22	5201.21	3295.04
P38795	NADE_YEAST	QNS1	Glutamine-dependent NAD(+) synthetase	11	10	34466.6	30526.2	34454.3	34643.5	34964.5	33032.6	34174	33718.4	16832.1	17262.3	16963	15768	17293.1	16643.7	17673.2	15284.5
P38796	PPME1_YEAST	PPE1	Protein phosphatase methylesterase 1	2	2		19682.1	21610	9662.47	15851.7	15836	16678.5	14285.4								
P38797	PP2C7_YEAST	PTC7	Protein phosphatase 2C homolog 7, mitochondrial	7	7	75735.4	86094.2	91059.7	93227.1	81221.8	87023.6	88679.6	91407.1	47984.2	37978.7	41076.5	46698.9	45327.4	38404.4	48606.1	39354.6
P38798	NMD2_YEAST	NMD2	Nonsense-mediated mRNA decay protein 2	6	6	12759.6	17224.4	17212.4	21900.5	22407	22928.2	22931.5	22807	14091.6	12423.9	15318.3	15780.3	17461	13166.1	9168.58	13848.3
P38801	LRP1_YEAST	LRP1	Exosome complex protein LRP1	6	6	34646.6	39409.5	39693.6	35958.7	33499.7	36674.7	37803.2	36650.2	14760.6	18516.2	18705.5	16153.9	20588.1	19997.6	17365.8	19310.3
P38803	IPI1_YEAST	IPI1	Pre-rRNA-processing protein IPI1	1	1	5789.29	8236.3	5421.17	6263.86	8155.48	8418.01	7169.18	6269.62	3480.11	2163.26	2960.88	5315.44	2819.43		4404.08	
P38804	SDO1L_YEAST	RTC3	Restriction of telomere capping protein 3	1	1	145022	141134	135592	129826	129177	135646	132857	138666	62233.8	60683	64490.3	56835.2	56872.4	56711.7	64527.9	68652.9
P38805	RPF1_YEAST	RPF1	Ribosome production factor 1	3	3	24065.5	25286.5	29030.6	21071.3	32247.9	26829.3	29542.8	29174.3								
P38809	YHP7_YEAST	YHR097C	Uncharacterized protein YHR097C	4	4	56331.5	58852.3	54324.3	55107.2	57576.4	55659	57447.9	58342.8	34521.8	27957.2	35704.2	29684.8	35022.3	37854.6	30771.4	29513.6
P38810	SFB3_YEAST	SFB3	SED5-binding protein 3	10	10	104455	102205	94349.9	105166	100288	91887	93846.2	91935.2	58847	61484.7	63946.8	66804	63197.3	59417.1	61365.9	58511.7
P38811	TRA1_YEAST	TRA1	SAGA complex/NuA4 acetyltransferase complex subunit TRA1	6	6	21229.8	34641.2	31767	31476.2	32040.7	30334.5	27111.5	34261.7	14985.2	10985.1	15396.8	14237.1	19333.3	15304	15182.2	16035.9
P38816	TRXB2_YEAST	TRR2	Thioredoxin reductase 2, mitochondrial	1	1	15448.4	13098.6	20472.6	15057.1	16507.2	16468.7	18920.4	12034			8675.1	7534.24	9738.4			
P38817	GGA2_YEAST	GGA2	ADP-ribosylation factor-binding protein GGA2	7	7	67770.9	72297.3	75038.3	70011	77534.7	75791.2	73244.5	71310.5	30988	30719.4	31655.8	32348.7	31352.3	29933	31575.6	33113.7
P38820	UBA4_YEAST	UBA4	Adenylyltransferase and sulfurtransferase UBA4	4	4	28297.5	28266.3	37416	27319.7	32669.4	28282.3	42435.8	30549	13801.1	17166.2	20979.9	25008.4	13456.9	20086.8	15807.8	25001.5
P38821	DNPEP_YEAST	APE4	Aspartyl aminopeptidase 4	15	15	47397.2	50657.9	50298.2	48358.4	52177.7	50162.3	50761.2	54128.8	24940.6	25991.6	24285.7	25232.5	24863.2	25499.7	23139.8	25135.3
P38822	BZZ1_YEAST	BZZ1	Protein BZZ1	11	11	34271.3	36081.4	32486.7	31865.7	33590	33134.1	34286.6	35944.5	15970.1	17055.3	17386.7	17148.2	16112.7	16769.1	17478	17464.4
P38825	TOM71_YEAST	TOM71	Protein TOM71	6	6	36884.7	40429.4	42908.8	39758.8	40684.6	41571.4	37522.2	44595.2	20911.6	17064.9	21149.6	19097.4	19850.7	17854.7	20473.2	20165.5
P38828	LSM12_YEAST	LSM12	Protein LSM12	4	4	39002.4	40521.2	37373.6	38581.5	36405	43446.1	40136.4	36638.1	18378	16462.4	15268.3	17358.8	17454.2	17886.2	18821.6	19342.2
P38829	YHS2_YEAST	YHR122W	MIP18 family protein YHR122W	3	3	9205.25	10701.7	10071.8	11724.4	10643.5	11315.2	11838	12357.5	4526.93	5087.71	6023.61	5666.76	5056.5	5443.07	5507.96	5630.44
P38836	ECM14_YEAST	ECM14	Inactive metallocarboxypeptidase ECM14	3	3	31542.5	32469.9	28560.4	29026.8	29835.9	35532.7	30620.7	28507	13108.8	13721.3	13249.7	13147.7	13383.7	13150.9	14542.9	13756.8
P38837	NSG1_YEAST	NSG1	Protein NSG1	4	4	40611.8	38472.7	34157.6	33203.3	39595.3	42796.9	32892.5	33298.4	11111.8	14309.6	14782.3	14608.5	14768.2	14500.9	14988.2	15835.6
P38840	ARO9_YEAST	ARO9	Aromatic amino acid aminotransferase 2	3	3	14343.2	15133.8	14431.7	11938.5	15303.9	12579.7	14595.7	10739	5602.06	4862.81	4643.48	4257.76	3197.39	4798.26	3146.95	4037.98
P38841	YHT8_YEAST	YHR138C	Uncharacterized protein YHR138C	8	8	86688.2	86426.4	88973.1	87603.7	87882.4	89413.2	85409.7	93243.2	41020.2	37113.7	37969.6	36850	36752.4	39326.8	37993.6	39552.2
P38845	CRP1_YEAST	CRP1	Cruciform DNA-recognizing protein 1	12	12	236588	251462	239293	239628	237955	245058	239437	227946	106090	106071	109109	107981	104025	107476	103035	99340.4
P38850	RT107_YEAST	RTT107	Regulator of Ty1 transposition protein 107	3	3	10464.5	11833.8	11447.5	11085.7	11906.3	10134.9	9679.68	11332.1	5852.3	4747.3	4728.99	5151.72	5536.61	6007.36	4403.78	7315.47
P38853	KEL1_YEAST	KEL1	Kelch repeat-containing protein 1	22	22	58532.6	57587.6	56619.4	57981.4	58843.5	58017.2	58353	62294.2	32261.4	29476.1	28126.3	26878	29039.4	31748.7	28578.5	30852
P38854	TDA11_YEAST	TDA11	Topoisomerase I damage affected protein 11	1	1	3538.47	5907.54		4907.32		3787.76	7019.42						4255.83			
P38856	AP18A_YEAST	YAP1801	Clathrin coat assembly protein AP180A	3	3	16171.9	14822.6	19035.6	15328.4	18763.5	18879.5	18304.7	18904			6479.59	9915.08	9234.84	10235.9	9933.28	11170.8
P38857;P53311	MPC2_YEAST;MPC3_YEAST	MPC2;MPC3	Mitochondrial pyruvate carrier 2	1	0	21334.4	12029.8														
P38858	SOL3_YEAST	SOL3	6-phosphogluconolactonase 3	9	9	394269	389300	364550	389001	363526	371916	361476	353536	192681	198485	179917	197313	175625	163112	187940	200349
P38861	NMD3_YEAST	NMD3	60S ribosomal export protein NMD3	9	9	31367.3	29107.5	27848.1	31548.5	30337.5	28271.7	29649.9	31875	15411.2	15246.2	16898.7	20144	13767.2	13463.2	16368.4	16002.8
P38862	ATG7_YEAST	ATG7	Ubiquitin-like modifier-activating enzyme ATG7	1	1	4962.96	7985.8		9401.68	7529.81	9709.31	6239.07	7321.85	3834.68			4414.79			4663.21	
P38873	KOG1_YEAST	KOG1	Target of rapamycin complex 1 subunit KOG1	3	3	5676.86	8014.06	6395.15	6268.56	7324.86	6999.36	8724.41	9845.8					5027.42	6041.98	5192.65	
P38875	GPI16_YEAST	GPI16	GPI transamidase component GPI16	3	3	14512.3	18949	18260.5	20275.9	20297.9	20606.2	18197.3	20609.1	9195.4	8260.81	8267.15	9529.58	8798.07	9113.31	9988.73	7439.31
P38878	LNP_YEAST	LNP1	Endoplasmic reticulum junction formation protein lunapark	4	4	34698.4	38494.4	38278.7	39181.7	39646.5	39971.5	41258.4	37683.3	17136.6	19016.4	24131	23927.2	21398	22447.8	22344.5	19676.2
P38879	NACA_YEAST	EGD2	Nascent polypeptide-associated complex subunit alpha	9	9	220156	237542	253804	240760	241503	245185	251844	243715	101453	100468	111105	109090	106294	97131.7	105011	99976.4
P38881	NVJ1_YEAST	NVJ1	Nucleus-vacuole junction protein 1	1	1	6682.16	6484.53	5680.28	4121.33	5691.13	8183.58	6131.01	5591.18	2510.12	3238.15	3338.05		4130.61	4950.01	3799.19	1906.42
P38882	UTP9_YEAST	UTP9	U3 small nucleolar RNA-associated protein 9	2	2	46587.9	35303.7	31706.1	41203.1	38954.2	37040.6	49709.7	42193.9								
P38883	RIX1_YEAST	RIX1	Pre-rRNA-processing protein RIX1	3	3	20328.9	25340.2	21576.3	20722.1	23281.5	28604.6	20193.5	23807.3			15701.5	16923.2	16366.6		16745.6	16070.8
P38884	AIM18_YEAST	AIM18	Altered inheritance of mitochondria protein 18, mitochondrial	4	4	14886.9	14611.4	14586.5	16273.8	15757.2	13498.6	13715.8	13763.1	7845.93	5819.13	7744.34	7400.81	7801.7	7026.9	7292.51	7296.29
P38885	AIM46_YEAST	AIM46	Altered inheritance of mitochondria protein 46, mitochondrial	2	2		4790.09	4200.26	4561.18	2724.1	4302	4325.76	5351.68	2701.03	2380.11	3564.76	3167.93	1673.92	3382.04	3018.44	2608.98
P38886	RPN10_YEAST	RPN10	26S proteasome regulatory subunit RPN10	5	5	73612.4	67775.7	78824.6	80371.2	80964.9	82593.3	81369.4	73089.6	36502.5	39223.6	40040.2	40654.2	38377.1	39466.9	36546.9	36706.1
P38890	SET5_YEAST	SET5	Histone-lysine N-methyltransferase SET5	4	4	9422.35	9739.4	8519.44	9909.32	8876.44	11389.3	10281.9	10815.8	6927.13	4571.56	5375.12	4304.52	5364.59	4131.75	6466.83	6160.07
P38891	BCA1_YEAST	BAT1	Branched-chain-amino-acid aminotransferase, mitochondrial	8	8	23593	30060.6	31045.6	33960.9	32957.5	35891.9	35873	29347.2	15839.5	17479.8	18106.7	18669.6	16179.7	16291.9	16768.6	16609.3
P38892	CRG1_YEAST	CRG1	Probable S-adenosylmethionine-dependent methyltransferase CRG1	2	2	25481.6	26067.4	26313.1	19246.4	20244.6	16524.1	25202.6	17332.7		10859.7		11025.9	10725.5	13697.8		10573.4
P38902	RPB11_YEAST	RPB11	DNA-directed RNA polymerase II subunit RPB11	3	3	37727.1	32854.3	33054.8	34909.4	35077.8	32639.1	36610.5	35726.5	19976.9	16407.7	17041.4		15017.7		16500.6	13131.4
P38903	2A5D_YEAST	RTS1	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform	4	4	38926	38416.2	39204.3	35605.8	36420.4	38801.8	33454.6	41423.2	15458.8	15933.4	11802.1	12672.2	13730.3	15724.8	14105.1	13461
P38910	CH10_YEAST	HSP10	10 kDa heat shock protein, mitochondrial	7	7	641417	676113	666284	657173	683997	657438	646854	657107	297664	305714	289996	296807	306707	301015	295526	296757
P38911	FKBP3_YEAST	FPR3	Peptidyl-prolyl cis-trans isomerase	9	8	75204.6	86541.7	91475.3	90098.3	88568.2	88988.5	84111.6	91850	42372.4	38691.7	43746.2	43282	42833.8	44518.3	40586.5	43523.1
P38912	IF1A_YEAST	TIF11	Eukaryotic translation initiation factor 1A	6	6	117290	115452	126209	123146	116623	120822	122363	121661	59691.4	54926.9	56159.6	55736.2	57490.1	55974.5	57570.4	59816
P38913	FAD1_YEAST	FAD1	FAD synthase	2	2	5078.38	5778.4	5570.08	6831.67	7139.55	7065.8	6459.42	5461.94	1915.32	2461.04	2175.25	3035.94	2262.63	2045.91	1769.01	3440.69
P38915	SPT8_YEAST	SPT8	SAGA complex subunit SPT8	3	3	9383.43	11539.8	11277	7894.8	8924.17	9987.08	9343.93	8522.46	2747.23	4436.06	5432.33	5567.79	5450.12	5719.47		4279.44
P38919	IF4A3_HUMAN	EIF4A3	Eukaryotic initiation factor 4A-III	30	24	403307	386075	399249	408691	391809	379673	409961	375876	409884	399794	419205	416399	394985	406580	393724	389329
P38922	HRB1_YEAST	HRB1	Serine/arginine (SR)-type shuttling mRNA binding protein HRB1	5	5	15071	17654.4	19165.3	16814.4	18909.5	18452.5	17652	19020.7	6664.85	7769.34	8823.82	7842.31	6935.97	8184.79	7744.79	8153.63
P38929	ATC2_YEAST	PMC1	Calcium-transporting ATPase 2	18	18	800213	867386	907897	903806	839308	836068	858663	897302	422933	397213	392822	444532	452964	389135	466850	465947
P38930	CSK2C_YEAST	CKB2	Casein kinase II subunit beta'	2	2	13118.3	21326.9	15916	13039.6	14790.7	14692.8	15832.6	19508		7571.01			7663.49		10536.5	7947.83
P38932	VPS45_YEAST	VPS45	Vacuolar protein sorting-associated protein 45	8	8	15350.8	16614.2	18230.8	18037.8	17308.6	19486.9	18439.1	17784	8263.97	7945.34	8582.16	9112.76	8031.62	8679.9	9171.43	9087.65
P38934	BFR1_YEAST	BFR1	Nuclear segregation protein BFR1	18	18	360989	370121	344840	342162	355773	347224	339359	361711	157745	161298	154220	155405	156891	153504	154033	157549
P38935	SMBP2_HUMAN	IGHMBP2	DNA-binding protein SMUBP-2	3	3	3816.88	4381.91	3534.23	4806.03	5383.74	5824.14	4937.88	6231.87	4719.41	4454.62	4386.98	5331.56	4783.95	3702.61	4776.35	4128.65
P38961	RRP8_YEAST	RRP8	25S rRNA (adenine(645)-N(1))-methyltransferase	4	4	22229.9	26689.2	24312.1	23347.8	25975.1	23674.1	20312.8	20681.4	13441.5	14053.8	11423	10712.4	12544.9	13708.8	12862.3	13085.5
P38962	TVP23_YEAST	TVP23	Golgi apparatus membrane protein TVP23	2	2	12536.3	12285.8	12097.1	12169.8	11550.5	13739.8	12424.6	11373.5	7634.61	6167.28	6695.92	7640.56	6498.4	7823.93	6682.17	6895.99
P38966	VTC5_YEAST	VTC5	Vacuole transporter chaperone complex subunit 5	7	7	8852.8	7747.61	10664.7	12222.2	7771.32	10148.2	11568.5	9732.7	6361.72	6051.89	4884.97	6237.5	5741.69	5320.79	6075.25	4998.17
P38968	SEC31_YEAST	SEC31	Protein transport protein SEC31	26	26	164617	153568	162455	164677	161753	162588	165783	161500	75872.1	75299.3	80534.9	85476.3	73727.2	78002.9	78155.5	77889.2
P38970	HAL5_YEAST	HAL5	Serine/threonine-protein kinase HAL5	8	8	19077	20487.5	22381	18624.1	20500.7	18528	18786.3	17377.2	8451.6	8193.57	8459.78	7158.58	8030.16	8199.08	7331.98	8004.52
P38972	PUR4_YEAST	ADE6	Phosphoribosylformylglycinamidine synthase	40	40	229683	240220	243091	238965	243721	242103	240209	243360	112391	108762	110547	115812	110914	110767	106418	113097
P38985	SRP14_YEAST	SRP14	Signal recognition particle subunit SRP14	3	3	52981.8	64121.9	61794.4	57634.4	57702.2	58693.6	58414.4	59159.4	24461.5	32040.4	30436.1	30085.7	31899.3	29591.9	30106.6	28853.6
P38986	ASPG1_YEAST	ASP1	L-asparaginase 1	8	8	81503.9	81407.7	77642.5	72715.5	79809.7	76411.4	78347	77438.5	36051.6	36173.3	31891.9	31745.1	33625.4	35618.1	33356.4	34658.8
P38988	GGC1_YEAST	GGC1	Mitochondrial GTP/GDP carrier protein 1	5	5	18546	18965.6	19939	20151.2	18687.6	19663.7	20171.1	19277.5	9837.46		11384.1	10622.1	10914.8	11836.4	10571.4	11991.4
P38992	SUR2_YEAST	SUR2	Sphingolipid C4-hydroxylase SUR2	2	2	24270.2	20595.3	20958.6	21431	21528.5	21851.3	19300.9	21341	10393.8	8712.89	9766.95	9092.73	8926.88	7692.01	7110.58	11139
P38993	FET3_YEAST	FET3	Iron transport multicopper oxidase FET3	3	3	17351.4	21933.1	21430.1	26910.5	22371	26883.2	26301.7	21743.3	10646.9	10724	12819.9	9952.28	11543	13530.3	12643.9	13801.3
P38996	NAB3_YEAST	NAB3	Nuclear polyadenylated RNA-binding protein 3	6	6	39156.8	39458.4	37062.3	39843.4	37004.6	41730.4	43084.6	40684	19784.5	21265.9	20888.7	20167.3	23119.7	21076.1	21157.8	21020.7
P38998	LYS1_YEAST	LYS1	Saccharopine dehydrogenase [NAD(+), L-lysine-forming]	7	7	50912.8	54535.9	55419.2	64760.8	54303.1	53911.4	56711	58824.3	26404.8	30954.5	32862.4	26654.1	27556.2	29394.6	27495.1	30166
P38999	LYS9_YEAST	LYS9	Saccharopine dehydrogenase [NADP(+), L-glutamate-forming]	16	16	51775.6	51581.7	57503.7	59316.9	57261.3	58976.6	56932.9	54317.8	29332	27835.8	29370.5	32845.4	27443.6	27624.1	31320.5	30304.8
P39003	HXT6_YEAST	HXT6	High-affinity hexose transporter HXT6	1	1	41902.8	43744	39687.9	39312.1	41445.1	42611.4	49296.5	43399.9	20475.6	20693.9	19403.7	21012.9	21532.8	20400	20711.2	21130
P39004	HXT7_YEAST	HXT7	High-affinity hexose transporter HXT7	8	3	176436	163719	168542	196748	184196	187905	184173	210517	83533.7	91258.9	86812	87215.2	82212.7	83994.3	86372.8	82391.6
P39005	KRE9_YEAST	KRE9	Cell wall synthesis protein KRE9	1	1	47243.8	48270.3	45637.4	41988.2	39925.3	42559.9	47056.7	49522.8	24647.8	25071	23777.5	22453.7	22778.9	25557.5	20258.1	21825.6
P39006	PSD1_YEAST	PSD1	Phosphatidylserine decarboxylase proenzyme 1, mitochondrial	1	1	4927.95	7055.22	5643.89	6241.47	8305.03	6281.86	5432	3773.19	3930.56		2631.5	2104.84		3327.3		2709.12
P39007	STT3_YEAST	STT3	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3	7	6	30145.2	30725.8	31692.7	33211.6	35147.2	32779.2	34786.6	29308.2	17065.8	17872.7	18098.9	16636.2	16193.8	16086.1	17737.1	15098.2
P39008	POP2_YEAST	POP2	Poly(A) ribonuclease POP2	1	1	134089	168662	136900	276783		212584	207986			126282				115382	136191	
P39010	AKR1_YEAST	AKR1	Palmitoyltransferase AKR1	5	5	21386.3	21910.8	22884.7	22482.3	21273.1	21391.5	21055.8	21739.9	9021.37	8982.97	7812.62	10167.1	9119.72	9060.89	7799.9	8147.2
P39011	GDS1_YEAST	BEM4	GTPase-GDP dissociation stimulator BEM4	1	1	7695.39	8501.57	6167.6	5397.86	7411.36	9475.95	7653.78	7494.51			2464.21	7467.73	6822.51	4556.51		
P39013	END3_YEAST	END3	Actin cytoskeleton-regulatory complex protein END3	5	5	110674	134038	141563	121355	158198	137414	125215	124213	67342.8	75789.7	69937.1	77123.1	72375.8	73049.7	64480.2	72344.4
P39015	STM1_YEAST	STM1	Suppressor protein STM1	6	6	1.00203e+06	1.16918e+06	1.29564e+06	1.11626e+06	1.25479e+06	1.1637e+06	1.13916e+06	1.2757e+06	467098	482646	516980	516326	515042	525797	516878	516533
P39016	MPT5_YEAST	MPT5	Suppressor protein MPT5	3	3	7117.31	6619.45	6282.19	8211.46	6366.83	5191.14	6203.07	4742.3		2741.63	2528.66	2195.74		2149.36	4388.47	2895.45
P39019	RS19_HUMAN	RPS19	Small ribosomal subunit protein eS19	19	19	1.48746e+06	1.35265e+06	1.3594e+06	1.40974e+06	1.35919e+06	1.36532e+06	1.4591e+06	1.38517e+06	1.4733e+06	1.46419e+06	1.50276e+06	1.49811e+06	1.43116e+06	1.43787e+06	1.43804e+06	1.48396e+06
P39023	RL3_HUMAN	RPL3	Large ribosomal subunit protein uL3	29	24	1.08886e+06	1.05061e+06	1.08719e+06	1.08599e+06	1.10413e+06	1.09137e+06	1.06749e+06	1.1137e+06	1.09417e+06	1.09223e+06	1.1075e+06	1.13245e+06	1.0952e+06	1.0992e+06	1.1093e+06	1.1104e+06
P39076	TCPB_YEAST	CCT2	T-complex protein 1 subunit beta	13	13	75658.8	75222.8	73603.6	77062.7	75063.7	77505.8	77575.4	73608.6	36259.7	35552.4	37240.8	35023.4	35007.2	34098.2	37144.8	32224.3
P39077	TCPG_YEAST	CCT3	T-complex protein 1 subunit gamma	22	22	72951	71164.3	73836	74285.5	74615.3	73987.4	73506.2	76967.3	33831.5	31882	32569.6	32417.1	32724	34694.7	33106.2	31234.2
P39078	TCPD_YEAST	CCT4	T-complex protein 1 subunit delta	21	21	78213.8	84983.3	82652.9	80721.4	89493.8	87483.5	86319.3	93899.9	42641.7	41918	40933.2	41808.3	42667.8	46178.8	43092	44067.6
P39079	TCPZ_YEAST	CCT6	T-complex protein 1 subunit zeta	14	14	83995.9	83820.3	89411	81534.7	81049.7	86292.5	88061.8	87253.5	40299.6	38016.4	39628.4	40070.9	38427.3	39411.4	40751.5	40470
